class,AP@0.50,Precision,Recall,F1
A,0.9950,0.8813,1.0000,0.9369
B,0.9950,1.0000,1.0000,1.0000
C,0.7950,0.7437,0.8000,0.7708
D,0.9950,1.0000,1.0000,1.0000
E,0.7950,0.8000,0.8000,0.8000
F,0.9950,1.0000,1.0000,1.0000
G,0.9950,1.0000,0.9111,0.9535
H,0.9950,1.0000,1.0000,1.0000
I,0.7950,0.8552,0.8000,0.8267
J,0.7950,0.8000,0.8000,0.8000
K,0.9950,0.8268,1.0000,0.9052
L,0.9950,0.8915,1.0000,0.9426
M,0.7550,0.6667,0.8000,0.7273
N,0.9950,0.9168,1.0000,0.9566
O,0.9950,1.0000,1.0000,1.0000
P,0.9950,1.0000,1.0000,1.0000
Q,0.9950,1.0000,0.7949,0.8857
R,0.9283,0.8090,0.8542,0.8310
S,0.9950,1.0000,1.0000,1.0000
T,0.9950,1.0000,1.0000,1.0000
U,0.9950,1.0000,0.9335,0.9656
V,0.9950,1.0000,0.8540,0.9213
W,0.5950,1.0000,0.6000,0.7500
X,0.7950,1.0000,0.8000,0.8889
Y,0.9950,0.8977,1.0000,0.9461
Z,0.9200,0.9224,0.8000,0.8569
del,0.7950,0.7429,0.8000,0.7704
nothing,0.9950,1.0000,1.0000,1.0000
space,0.3950,0.5000,0.6000,0.5455
