epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8316,1.54504,4.26433,1.71637,0,0,0,0,0.92229,4.38661,1.00239,9.393e-05,9.393e-05,9.393e-05
2,56.0299,1.10009,4.0404,1.42657,0.04638,0.47931,0.08486,0.0524,0.9709,4.10068,0.99858,0.000184591,0.000184591,0.000184591
3,83.1684,1.06078,3.75415,1.40724,0.25568,0.16897,0.11781,0.06561,1.15906,3.78634,1.31524,0.000268852,0.000268852,0.000268852
4,109.666,1.07519,3.52758,1.4298,0.24918,0.39533,0.23406,0.14943,1.12832,3.3933,1.15561,0.000273003,0.000273003,0.000273003
5,136.906,1.0656,3.37279,1.44594,0.28045,0.34847,0.28543,0.18453,1.1435,3.01343,1.22804,0.000263004,0.000263004,0.000263004
6,162.958,1.03486,3.21607,1.43405,0.33363,0.46153,0.35593,0.2142,1.28282,2.78317,1.34695,0.000253005,0.000253005,0.000253005
7,190.8,1.04945,3.03682,1.44864,0.34226,0.49404,0.38284,0.26723,1.03029,2.61792,1.1586,0.000243006,0.000243006,0.000243006
8,221.467,1.01624,2.92612,1.41677,0.4115,0.47453,0.48369,0.36743,0.85047,2.34644,1.0328,0.000233007,0.000233007,0.000233007
9,1525.84,0.9811,2.79913,1.39305,0.50074,0.57078,0.56391,0.38156,1.01602,2.24785,1.16393,0.000223008,0.000223008,0.000223008
10,1552.92,0.99359,2.71537,1.41663,0.50169,0.65091,0.63021,0.47087,0.81443,1.98683,1.063,0.000213009,0.000213009,0.000213009
11,1580.5,0.96116,2.64066,1.394,0.51501,0.69257,0.64744,0.51126,0.75573,1.89341,0.99491,0.00020301,0.00020301,0.00020301
12,1606.86,0.97567,2.539,1.39587,0.61963,0.6617,0.69753,0.51548,0.87392,1.77789,1.10164,0.000193011,0.000193011,0.000193011
13,1633.55,0.9364,2.50834,1.38144,0.63243,0.71892,0.69985,0.52101,0.84325,1.787,1.07752,0.000183012,0.000183012,0.000183012
14,1659.76,0.9376,2.40287,1.36441,0.60221,0.7616,0.74845,0.55962,0.79652,1.85435,1.03397,0.000173013,0.000173013,0.000173013
15,1686.57,0.91236,2.40515,1.35494,0.57462,0.76426,0.70756,0.54487,0.77361,1.75021,1.01022,0.000163014,0.000163014,0.000163014
16,1714.25,0.90107,2.31928,1.35465,0.73545,0.72959,0.77152,0.57114,0.84856,1.57077,1.06261,0.000153015,0.000153015,0.000153015
17,1741.75,0.89459,2.25699,1.34184,0.66037,0.73916,0.7703,0.5521,0.90229,1.58832,1.09455,0.000143016,0.000143016,0.000143016
18,1768.38,0.864,2.25417,1.33136,0.68745,0.74498,0.79557,0.60609,0.7981,1.46629,1.04086,0.000133017,0.000133017,0.000133017
19,1796.43,0.85482,2.23095,1.32181,0.7261,0.86521,0.83649,0.62961,0.81062,1.40525,1.05873,0.000123018,0.000123018,0.000123018
20,1822.39,0.8615,2.18101,1.33136,0.7367,0.78136,0.83885,0.59995,0.92161,1.42495,1.13246,0.000113019,0.000113019,0.000113019
21,1847.91,0.6875,1.57107,1.29615,0.76656,0.82077,0.85719,0.68165,0.71582,1.40747,0.9763,0.00010302,0.00010302,0.00010302
22,1873.76,0.66024,1.39399,1.27394,0.82499,0.84376,0.87983,0.71128,0.66879,1.36249,0.93772,9.3021e-05,9.3021e-05,9.3021e-05
23,1900.08,0.63862,1.26893,1.24789,0.79657,0.8564,0.88178,0.72075,0.64376,1.34974,0.90879,8.3022e-05,8.3022e-05,8.3022e-05
24,1925.49,0.628,1.21869,1.24187,0.83563,0.86194,0.89612,0.74258,0.60874,1.28061,0.88964,7.3023e-05,7.3023e-05,7.3023e-05
25,1950.89,0.58479,1.17638,1.20415,0.83457,0.85614,0.89649,0.74439,0.63022,1.23118,0.90201,6.3024e-05,6.3024e-05,6.3024e-05
26,1976.7,0.58704,1.1177,1.20784,0.84485,0.86333,0.90455,0.7571,0.6045,1.23044,0.87554,5.3025e-05,5.3025e-05,5.3025e-05
27,2002.74,0.59039,1.10301,1.2154,0.87188,0.87194,0.91506,0.76447,0.59091,1.17041,0.87005,4.3026e-05,4.3026e-05,4.3026e-05
28,2028.23,0.55572,1.08048,1.18567,0.87925,0.87534,0.9155,0.75886,0.60104,1.16582,0.87207,3.3027e-05,3.3027e-05,3.3027e-05
29,2054.2,0.55203,1.05543,1.17221,0.88029,0.87266,0.91388,0.76238,0.58709,1.16298,0.86001,2.3028e-05,2.3028e-05,2.3028e-05
30,2079.27,0.54705,1.02796,1.18207,0.87835,0.8632,0.91548,0.76175,0.60525,1.14494,0.86804,1.3029e-05,1.3029e-05,1.3029e-05
